Line #,Key,en Version,hy Translation
1,hy.activerecord.models.user,User,Օգտատեր
2,hy.activerecord.models.story,Story,Նյութ
3,hy.activerecord.models.section,Section,Բաժին
4,hy.activerecord.models.medium,Full-Screen Media Slideshow,Սլայդշոու  ամբողջ էկրանով
5,hy.activerecord.models.content,Text,Տեքստ
6,hy.activerecord.models.message,Message,Նամակ
7,hy.activerecord.models.slideshow,Image Slideshow,Նկարների սլայդ շոու
8,hy.activerecord.models.embed_medium,Embeddable Online Media,Ներդրվող առցանց մեդիա բովանդակություն
9,hy.activerecord.models.youtube,YouTube Video,YouTube վիդեո
10,hy.activerecord.models.language,Language,Լեզու
11,hy.activerecord.models.category,Category,Դասակարգում
12,hy.activerecord.models.page,Text for Pages,Էջերի համար տեքստ
13,hy.activerecord.models.theme,Theme,Թեմա
14,hy.activerecord.models.story_type,Story Type,Տեսակ 
15,hy.activerecord.models.author,Author,Հեղինակ
16,hy.activerecord.models.asset,File,File
17,hy.activerecord.attributes.asset.asset_file_name,File,File
18,hy.activerecord.attributes.asset.asset_content_type,File Content Type,File Content Type
19,hy.activerecord.attributes.asset.asset_file_size,File Size,File Size
20,hy.activerecord.attributes.avatar.asset_file_name,File,File
21,hy.activerecord.attributes.avatar.asset_content_type,File Content Type,File Content Type
22,hy.activerecord.attributes.avatar.asset_file_size,File Size,File Size
23,hy.activerecord.attributes.user.email,Email Address,Էլեկտրոնային հասցե
24,hy.activerecord.attributes.user.password,Password,Գաղտնաբառ
25,hy.activerecord.attributes.user.password_confirmation,Password Confirmation,Հաստատեք գաղտնաբառը
26,hy.activerecord.attributes.user.role,Role,Դերը
27,hy.activerecord.attributes.user.remember_me,Remember Me,Հիշիր
28,hy.activerecord.attributes.user.default_story_locale,Default Language for Your Stories,Ձեր նյութի հիմնական լեզուն 
29,hy.activerecord.attributes.user.about,Summary of You,Քո մասին
30,hy.activerecord.attributes.user.local_avatar,Avatar,Ավատար
31,hy.activerecord.attributes.user.nickname,Nickname,Կեղծանուն
32,hy.activerecord.attributes.user.sign_in_count,Number of Times Logged In,Կայք մուտքերի քանակը
33,hy.activerecord.attributes.user.created_at,Date Created,Ստեղծվել է
34,hy.activerecord.attributes.user.current_sign_in_at,Date Last Logged In,Վերջին այցելությունը
35,hy.activerecord.attributes.author.avatar,Avatar,Ավատար
36,hy.activerecord.attributes.author_translation.name,Name,Անուն
37,hy.activerecord.attributes.author_translation.about,About,Մեր մասին
38,hy.activerecord.attributes.author_translation.permalink,Permalink,Պերմալինք
39,hy.activerecord.attributes.author_translations.name,Name,Անուն
40,hy.activerecord.attributes.author_translations.about,About,Մեր մասին
41,hy.activerecord.attributes.author_translations.permalink,Permalink,Պերմալինք
42,hy.activerecord.attributes.story.user_id,Story Author,Հեղինակ
43,hy.activerecord.attributes.story.user_ids,Editors,Խմբագիրներ
44,hy.activerecord.attributes.story.publish_home_page,"Once published, make your story visible on the homepage?",Հրապարակելուց հետո տեսանելի դարձնե՞լ Գլխավոր էջում
45,hy.activerecord.attributes.story.template_id,Template,Կաղապար
46,hy.activerecord.attributes.story.thumbnail,Thumbnail,Մանրապատկեր (Thumbnail)
47,hy.activerecord.attributes.story.story_locale,Story Language,Լեզու
48,hy.activerecord.attributes.story.tag_list,Tags,Պիտակներ (Tags)
