Line #,st,en Version,ru Translation
1,ru.activerecord.models.user,User,Пользователь
2,ru.activerecord.models.story,Story,История
3,ru.activerecord.models.section,Section,Раздел
4,ru.activerecord.models.medium,Full-Screen Media Slideshow,Медиа слайд-шоу во весь экран
5,ru.activerecord.models.content,Text,Текст
6,ru.activerecord.models.message,Message,Сообщение
7,ru.activerecord.models.slideshow,Image Slideshow,Слайд-шоу картинок
8,ru.activerecord.models.embed_medium,Embeddable Online Media,Встраиваемый онлайн медиа контент
9,ru.activerecord.models.youtube,YouTube Video,YouTube видео
10,ru.activerecord.models.language,Language,Язык
11,ru.activerecord.models.category,Category,Категория
12,ru.activerecord.models.page,Text for Pages,Текст для страницы
13,ru.activerecord.models.theme,Theme,Тема
14,ru.activerecord.models.story_type,Story Type,Тип истории
15,ru.activerecord.models.author,Author,Автор
16,ru.activerecord.models.asset,File,Файл
17,ru.activerecord.attributes.asset.asset_file_name,File,Файл
18,ru.activerecord.attributes.asset.asset_content_type,File Content Type,Тип содержимого файла 
19,ru.activerecord.attributes.asset.asset_file_size,File Size,Размер файла
23,ru.activerecord.attributes.user.email,Email Address,Адрес электронной почты
24,ru.activerecord.attributes.user.password,Password,Пароль
25,ru.activerecord.attributes.user.password_confirmation,Password Confirmation,Подтвердите Пароль
26,ru.activerecord.attributes.user.role,Role,Роль
27,ru.activerecord.attributes.user.remember_me,Remember Me,Запомнить меня
28,ru.activerecord.attributes.user.default_story_locale,Default Language for Your Stories,Язык историй по умолчанию
29,ru.activerecord.attributes.user.about,Summary of You,Коротко о себе
30,ru.activerecord.attributes.user.local_avatar,Avatar,Аватар
31,ru.activerecord.attributes.user.nickname,Nickname,Логин
32,ru.activerecord.attributes.user.sign_in_count,Number of Times Logged In,количество посещений на сайте
33,ru.activerecord.attributes.user.created_at,Date Created,Дата создания
34,ru.activerecord.attributes.user.current_sign_in_at,Date Last Logged In,Дата последнего посещения
35,ru.activerecord.attributes.author.avatar,Avatar,Аватар
36,ru.activerecord.attributes.author_translation.name,Name,Имя
37,ru.activerecord.attributes.author_translation.about,About,Про нас
38,ru.activerecord.attributes.author_translation.permalink,Permalink,Постоянная ссылка
42,ru.activerecord.attributes.story.user_id,Story Author,Автор истории
43,ru.activerecord.attributes.story.user_ids,Editors,Редакторы
44,ru.activerecord.attributes.story.publish_home_page,"Once published, make your story visible on the homepage?",Сделать Вашу историю видимой на странице после публикации?
45,ru.activerecord.attributes.story.template_id,Template,Шаблон
46,ru.activerecord.attributes.story.thumbnail,Thumbnail,Эскиз (Thumbnail)
47,ru.activerecord.attributes.story.story_locale,Story Language,Язык истории
48,ru.activerecord.attributes.story.tag_list,Tags,Теги
49,ru.activerecord.attributes.story.categories,Categories,Категории
50,ru.activerecord.attributes.story.story_type,Type,Тип
51,ru.activerecord.attributes.story.in_theme_slider,Show Story in Theme Slider,Показать историю в тематическом слайдере
52,ru.activerecord.attributes.story_translation.title,Story Title,Название истории
53,ru.activerecord.attributes.story_translation.author,Author(s),Автор(ы)
54,ru.activerecord.attributes.story_translation.media_author,Photo and Video Author(s),Автор(ы) видео и фото
55,ru.activerecord.attributes.story_translation.translation_author,Translation Author(s),Автор(ы) перевода
56,ru.activerecord.attributes.story_translation.published,Publish?,Публиковать?
57,ru.activerecord.attributes.story_translation.published_at,Was Published,Опубликована
58,ru.activerecord.attributes.story_translation.about,Story Summary,Аннотация к истории
59,ru.activerecord.attributes.story_translation.permalink,Story URL,URL Истории
60,ru.activerecord.attributes.story_translation.permalink_staging,Story URL,URL Истории
76,ru.activerecord.attributes.section.has_marker,Navigation Shortcut,Навигационная ссылка
77,ru.activerecord.attributes.section.type_id,Type,Тип
78,ru.activerecord.attributes.section.sort_order,Sort Order,Порядок Сортировки
79,ru.activerecord.attributes.section_translation.title,Title,Название
80,ru.activerecord.attributes.section_translation.audio,Audio Track,Аудиофайл
