Line #,st,en Version,ka Translation
1,ka.activerecord.models.user,User,მომხმარებელი
2,ka.activerecord.models.story,Story,ამბავი
3,ka.activerecord.models.section,Section,სექცია
4,ka.activerecord.models.medium,Full-Screen Media Slideshow,მთელ ეკრანზე გაშლილი ფოტო/ვიდეო სლაიდშოუ
5,ka.activerecord.models.content,Text,ტექსტი
6,ka.activerecord.models.message,Message,შეტყობინება
7,ka.activerecord.models.slideshow,Image Slideshow,ფოტო სლაიდშოუ
8,ka.activerecord.models.embed_medium,Embeddable Online Media,ჩასასმელი ონლაინ აუდიო/ვიდეო
9,ka.activerecord.models.youtube,YouTube Video,YouTube ვიდეო
10,ka.activerecord.models.language,Language,ენა
11,ka.activerecord.models.category,Category,კატეგორია
12,ka.activerecord.models.page,Text for Pages,ტექსტი გვერდებისთვის
13,ka.activerecord.models.theme,Theme,თემა
14,ka.activerecord.models.story_type,Story Type,ამბის ტიპი
15,ka.activerecord.models.author,Author,ავტორი
16,ka.activerecord.models.asset,File,File
17,ka.activerecord.attributes.asset.asset_file_name,File,File
18,ka.activerecord.attributes.asset.asset_content_type,File Content Type,File Content Type
19,ka.activerecord.attributes.asset.asset_file_size,File Size,File Size
23,ka.activerecord.attributes.user.email,Email Address,ელ. ფოსტა
24,ka.activerecord.attributes.user.password,Password,პაროლი
25,ka.activerecord.attributes.user.password_confirmation,Password Confirmation,გაიმეორეთ პაროლი
26,ka.activerecord.attributes.user.role,Role,როლი
27,ka.activerecord.attributes.user.remember_me,Remember Me,დამიმახსოვრე
28,ka.activerecord.attributes.user.default_story_locale,Default Language for Your Stories,თქვენი ამბის ავტომატური ენა
29,ka.activerecord.attributes.user.about,Summary of You,თქვენ შესახებ
30,ka.activerecord.attributes.user.local_avatar,Avatar,პროფილის სურათი
31,ka.activerecord.attributes.user.nickname,Nickname,მომხმარებლის სახელი
32,ka.activerecord.attributes.user.sign_in_count,Number of Times Logged In,შემოსვლის რაოდენობა
33,ka.activerecord.attributes.user.created_at,Date Created,შექმნის თარიღი
34,ka.activerecord.attributes.user.current_sign_in_at,Date Last Logged In,ბოლო შემოსვლის თარიღი
35,ka.activerecord.attributes.author.avatar,Avatar,პროფილის სურათი
36,ka.activerecord.attributes.author_translation.name,Name,სახელი
37,ka.activerecord.attributes.author_translation.about,About,შესახებ
38,ka.activerecord.attributes.author_translation.permalink,Permalink,მუდმივი ბმული
42,ka.activerecord.attributes.story.user_id,Story Author,ამბის ავტორი
43,ka.activerecord.attributes.story.user_ids,Editors,ამბის რედაქტორები
44,ka.activerecord.attributes.story.publish_home_page,"Once published, make your story visible on the homepage?","გამოქვეყნების შემდეგ, გსურთ, თქვენი ამბავი გამოჩნდეს მთავარ გვერდზე?"
45,ka.activerecord.attributes.story.template_id,Template,შაბლონი
46,ka.activerecord.attributes.story.thumbnail,Thumbnail,ესკიზი
47,ka.activerecord.attributes.story.story_locale,Story Language,ამბის ენა
48,ka.activerecord.attributes.story.tag_list,Tags,თეგები
49,ka.activerecord.attributes.story.categories,Categories,კატეგორიები
50,ka.activerecord.attributes.story.story_type,Type,ტიპი
51,ka.activerecord.attributes.story.in_theme_slider,Show Story in Theme Slider,ამბის სლაიდერში ჩვენება
52,ka.activerecord.attributes.story_translation.title,Story Title,ამბის სათაური
53,ka.activerecord.attributes.story_translation.author,Author(s),ავტორ(ებ)ი
54,ka.activerecord.attributes.story_translation.media_author,Photo and Video Author(s),ფოტოსა და ვიდეოს ავტორ(ებ)ი
55,ka.activerecord.attributes.story_translation.translation_author,Translation Author(s),თარგმნის ავტორი
56,ka.activerecord.attributes.story_translation.published,Publish?,გამოვაქვეყნოთ?
57,ka.activerecord.attributes.story_translation.published_at,Was Published,გამოქვეყნებულია
58,ka.activerecord.attributes.story_translation.about,Story Summary,ამბის მოკლე შინაარსი
59,ka.activerecord.attributes.story_translation.permalink,Story URL,ამბის ბმული
60,ka.activerecord.attributes.story_translation.permalink_staging,Story URL,ამბის ბმული
76,ka.activerecord.attributes.section.has_marker,Navigation Shortcut,სექციის გამოყოფა
77,ka.activerecord.attributes.section.type_id,Type,ტიპი
78,ka.activerecord.attributes.section.sort_order,Sort Order,დალაგება
79,ka.activerecord.attributes.section_translation.title,Title,სათაური
80,ka.activerecord.attributes.section_translation.audio,Audio Track,აუდიო ფაილი
81,ka.activerecord.attributes.section_translation.delete_audio,Delete the Audio Track?,აუდიო ფაილის წაშლა?
91,ka.activerecord.attributes.content_translation.title,Title,სათაური
92,ka.activerecord.attributes.content_translation.caption,Heading,ტექსტის სათაური
93,ka.activerecord.attributes.content_translation.sub_caption,Subheading,ტექსტის ქვესათაური
94,ka.activerecord.attributes.content_translation.content,Text,ტექსტი
99,ka.activerecord.attributes.medium.media_type,Media Type,მედია ტიპი
100,ka.activerecord.attributes.medium.image,Image,სურათი
101,ka.activerecord.attributes.medium.video,Video,ვიდეო
102,ka.activerecord.attributes.medium.video_loop,Loop Video,ვიდეოს გამეორება
103,ka.activerecord.attributes.medium_translation.title,Title,სათაური
104,ka.activerecord.attributes.medium_translation.caption,Caption,წარწერა
105,ka.activerecord.attributes.medium_translation.caption_align,Caption Alignment,წარწერის მდებარეობა
106,ka.activerecord.attributes.medium_translation.infobox_type,Caption Position,წარწერის მდებარეობა
107,ka.activerecord.attributes.medium_translation.summary,Summary,მოკლე შინაარსი
108,ka.activerecord.attributes.medium_translation.source,Source,წყარო
109,ka.activerecord.attributes.medium_translation.image_name,Image,სურათი
110,ka.activerecord.attributes.medium_translation.video_name,Video,ვიდეო
131,ka.activerecord.attributes.slideshow_translation.title,Title,სათაური
132,ka.activerecord.attributes.slideshow_translation.caption,Heading,ფოტოს წარწერა
133,ka.activerecord.attributes.slideshow_translation.description,Description,აღწერა
134,ka.activerecord.attributes.slideshow_translation.asset_files_name,Image(s),Image(s)
145,ka.activerecord.attributes.message.name,Name,სახელი
146,ka.activerecord.attributes.message.email,Email Address,ელ. ფოსტის მისამართი
147,ka.activerecord.attributes.message.message,Message,გზავნილი
148,ka.activerecord.attributes.message.message_type,Feedback Type,გზავნილის მიზანი
149,ka.activerecord.attributes.embed_medium_translation.title,Title,სათაური
150,ka.activerecord.attributes.embed_medium_translation.url,Url to Online Media,ონლაინ აუდიოს/ვიდეოს ბმული
153,ka.activerecord.attributes.youtube.fullscreen,Fullscreen,მთელ ეკრანზე გაშლილი
154,ka.activerecord.attributes.youtube.loop,Loop,გამეორება
155,ka.activerecord.attributes.youtube.info,Show Video Title Bar,ვიდეოს სათაურის ჩვენება
156,ka.activerecord.attributes.youtube_translation.title,Title,სათაური
157,ka.activerecord.attributes.youtube_translation.url,Url to YouTube Video,YouTube ვიდეოს Url-ი
158,ka.activerecord.attributes.youtube_translation.menu_lang,Player Language,პლეერის პარამეტრების ენა
159,ka.activerecord.attributes.youtube_translation.cc,Show Caption/Subtitle,წარწერის/სუბტიტრების ჩვენება
160,ka.activerecord.attributes.youtube_translation.cc_lang,Subtitle Language,სუბტიტრების ენა
161,ka.activerecord.attributes.youtube_translation.code,Youtube Video Id,Youtube Video Id
168,ka.activerecord.attributes.infographic.published_at,Date Published,Date Published
169,ka.activerecord.attributes.infographic.image,Infographic Image,Infographic Image
170,ka.activerecord.attributes.infographic.dataset_file,Related File,Related File
171,ka.activerecord.attributes.infographic.datasources,Data Sources,Data Sources
172,ka.activerecord.attributes.infographic.subtype,Infographic Type,Infographic Type
173,ka.activerecord.attributes.infographic.dynamic_width,Width,Width
174,ka.activerecord.attributes.infographic.dynamic_height,Height,Height
175,ka.activerecord.attributes.infographic.dynamic_render,Show Infographic in Story or in Popup,Show Infographic in Story or in Popup
176,ka.activerecord.attributes.infographic_translation.title,Title,Title
177,ka.activerecord.attributes.infographic_translation.caption,Heading,Heading
178,ka.activerecord.attributes.infographic_translation.description,Description,Description
179,ka.activerecord.attributes.infographic_translation.dataset_url,Online Dataset,Online Dataset
180,ka.activerecord.attributes.infographic_translation.image_name,Image,Image
187,ka.activerecord.attributes.infographic_translation.dynamic_url,Dynamic URL,Dynamic URL
200,ka.activerecord.attributes.infographic_datasource.name,Data Source Name,Data Source Name
201,ka.activerecord.attributes.infographic_datasource.url,Data Source URL,Data Source URL
202,ka.activerecord.attributes.language.locale,Locale,ენის აღმნიშვნელი
203,ka.activerecord.attributes.language.name,Language Name,ენა
204,ka.activerecord.attributes.category_translation.name,Name,სახელი
206,ka.activerecord.attributes.page.name,Unique name for content (do not change!),კონტენტის უნიკალური სახელი (არ შეცვალოთ!)
207,ka.activerecord.attributes.page_translation.title,Title to show above content,"სათაური, რომელიც გამოჩნდება კონტენტის ზემოთ"
208,ka.activerecord.attributes.page_translation.content,Content,კონტენტი
211,ka.activerecord.attributes.theme.is_published,Publish?,გამოვაქვეყნოთ?
212,ka.activerecord.attributes.theme.published_at,Date Published,გამოქვეყნების თარიღი
213,ka.activerecord.attributes.theme.show_home_page,Show this theme on the home page?,ვაჩვენოთ ეს თემა მთავარ გვერდზე?
214,ka.activerecord.attributes.theme.published_item_count,Number of Published Items,გამოქვეყნებულ ამბავთა რაოდენობა
215,ka.activerecord.attributes.theme.featured_stories,Featured Stories,Featured Stories
216,ka.activerecord.attributes.theme_translation.name,Name,სათაური
217,ka.activerecord.attributes.theme_translation.edition,Edition,გამოცემა
218,ka.activerecord.attributes.theme_translation.description,Description,აღწერა
219,ka.activerecord.attributes.theme_translation.permalink,URL,URL-ი
224,ka.activerecord.attributes.story_type.sort_order,Sort Order,დალაგება
225,ka.activerecord.attributes.story_type_translation.name,Name,სათაური
226,ka.activerecord.attributes.story_type_translation.permalink,URL,URL-ი
229,ka.activerecord.errors.messages.required_field,is a required field.,სავალდებულო ველი
230,ka.activerecord.errors.messages.already_exists,already exists in the database.,უკვე არსებობს მონაცემთა ბაზაში
231,ka.activerecord.errors.messages.story_authors,must have at least one person selected.,საჭიროა ერთი ადამიანის ონიშვნა მაინც.
